Text                     ,HR                       ,"Veloc, Vento",Pisc_scobert,Pisc_scobert_50m2,50m2_Ts_colect   ,PavCol_scobert,Pisc_ccobert_50m2
8.75625,95,2.64375,13.03743896,15.84573199,8.75625,13.08904225,18.44197367
8.70625,95,2.69375,12.97432946,15.7556172,8.70625,13.02545485,18.38333464
8.875,94.5625,2.65625,12.91206159,15.66673805,8.875,12.96271426,18.3253411
9.075,94.0625,2.60625,12.85195898,15.58057503,9.075,12.9021482,18.26921093
9.49375,92.6875,2.81875,12.79577469,15.51323863,17.9341736,12.84549713,18.22850222
9.94375,91.1875,3.06875,12.76670609,15.55173932,19.91950286,12.81594587,18.26394132
10.6125,88.8125,3.14375,12.73498973,15.50553803,16.97984669,12.78374029,18.18611286
11.3125,86.3125,3.19375,12.7283258,15.52187673,18.75175258,12.77658817,18.17014667
12.1,83.375,3.15625,12.72449888,15.51092632,17.47924437,12.77227811,18.1281247
12.9,80.375,3.10625,12.74140268,15.56396729,18.53967846,12.78870728,18.1490259
13.6125,77.8125,3.1875,12.76196032,15.61048172,17.99958156,12.80879294,18.1519451
14.3125,75.3125,3.2875,12.79605314,15.68254109,18.5795489,12.84241061,18.19219467
14.79375,73.6875,3.69375,12.83257052,15.74963681,18.26777731,12.878437,18.22665713
15.24375,72.1875,4.14375,12.87450955,15.82158442,18.39818728,12.91985734,18.26414996
15.475,71.125,3.98125,12.91628664,15.88866763,18.18637528,12.96111403,18.29712906
15.675,70.125,3.73125,12.9531364,15.93164051,26.46311837,12.99601748,18.30776192
15.65625,70,3.48125,12.98635559,15.96971836,17.74281131,13.02914344,18.30408042
15.60625,70,3.23125,13.00759381,15.97741407,17.341701,13.05084533,18.28482075
15.55625,70.4375,3.59375,13.02503005,15.97916358,17.16669666,13.06895843,18.26015661
15.50625,70.9375,4.04375,13.02974373,15.95982513,16.66642092,13.07425238,18.2125952
15.36875,71.4375,3.4875,13.03014223,15.93536305,16.48480751,13.07491475,18.16111445
15.21875,71.9375,2.7875,13.01613881,15.8936021,18.02224062,13.06070873,18.09495184
15.025,72.4375,3.09375,12.99950257,15.85152761,17.25114603,13.04320942,18.02747743
14.825,72.9375,3.54375,12.97685291,15.79820041,14.825,13.0201056,17.94920943
14.58125,73.875,3.6875,12.95263666,15.74240497,14.58125,12.99542124,17.8678009
14.33125,74.875,3.7875,12.92717733,15.68530177,14.33125,12.96949239,17.78507864
14.08125,75.875,3.14375,12.90030406,15.62862819,14.08125,12.94217688,17.70429031
13.83125,76.875,2.39375,12.87222024,15.5744853,13.83125,12.9137066,17.62903734
13.5375,77.875,2.3875,12.84299404,15.52096745,13.5375,12.88412015,17.55584356
13.2375,78.875,2.4875,12.81229271,15.4657601,13.2375,12.85305508,17.4919651
12.89375,79.875,2.80625,12.77967288,15.40787488,12.89375,12.82005983,17.45882175
12.54375,80.875,3.15625,12.7445657,15.34623931,12.54375,12.78455794,17.4219397
12.2375,81.875,3.06875,12.70742656,15.28244297,12.2375,12.74702183,17.3829741
11.9375,82.875,2.91875,12.66894673,15.21824877,11.9375,12.70815891,17.34379568
11.59375,83.875,2.4625,12.62946774,15.15472764,11.59375,12.66832172,17.30570432
11.24375,84.875,1.9625,12.58958775,15.09321951,11.24375,12.62811962,17.27021509
10.80625,86.3125,2.1625,12.54801053,15.03066262,10.80625,12.58622981,17.23410869
10.35625,87.8125,2.4625,12.50095383,14.95961811,10.35625,12.53881437,17.18807636
10.08125,88.875,2.80625,12.44496407,14.87284785,10.08125,12.48236133,17.1210597
9.83125,89.875,3.15625,12.38833609,14.78634236,9.83125,12.42528397,17.05569277
9.58125,90.875,3.06875,12.33572695,14.70944511,9.58125,12.37231128,17.00510146
9.33125,91.875,2.91875,12.28259897,14.63289542,9.33125,12.3188326,16.9550017
9.125,92.4375,2.94375,12.22855619,14.5558923,9.125,12.26444584,16.90454179
8.925,92.9375,2.99375,12.17314963,14.47759649,8.925,12.20869613,16.85281679
8.8125,93.4375,3.39375,12.11575646,14.39659614,8.8125,12.15094939,16.7980197
8.7125,93.9375,3.84375,12.05571318,14.31156767,8.7125,12.09053164,16.73836213
8.6125,94,3.6375,11.99492204,14.22582522,8.6125,12.02936647,16.67770484
8.5125,94,3.3375,11.93528121,14.14260858,8.5125,11.96937226,16.61991035
8.45625,94,3.825,11.87451845,14.05805106,8.45625,11.90825227,16.5604263
8.40625,94,4.425,11.81046166,13.96844687,8.40625,11.84381129,16.49475616
8.575,93.5625,4.36875,11.74637026,13.87848139,8.575,11.77932917,16.42774258
8.775,93.0625,4.21875,11.68547292,13.79256924,8.775,11.71805374,16.36407497
9.19375,91.6875,4.33125,11.63015735,13.73193549,16.48134667,11.66236483,16.31996728
9.64375,90.1875,4.48125,11.60377396,13.77788956,18.20534731,11.63560503,16.3561947
